B15003_001E,B15003_001M,B15003_002E,B15003_002M,B15003_003E,B15003_003M,B15003_004E,B15003_004M,B15003_005E,B15003_005M,B15003_006E,B15003_006M,B15003_007E,B15003_007M,B15003_008E,B15003_008M,B15003_009E,B15003_009M,B15003_010E,B15003_010M,B15003_011E,B15003_011M,B15003_012E,B15003_012M,B15003_013E,B15003_013M,B15003_014E,B15003_014M,B15003_015E,B15003_015M,B15003_016E,B15003_016M,B15003_017E,B15003_017M,B15003_018E,B15003_018M,B15003_019E,B15003_019M,B15003_020E,B15003_020M,B15003_021E,B15003_021M,B15003_022E,B15003_022M,B15003_023E,B15003_023M,B15003_024E,B15003_024M,B15003_025E,B15003_025M,GEO_ID,NAME
2409,222,176,85,0,12,25,32,0,12,0,12,36,36,0,12,37,40,135,66,58,74,64,48,72,60,237,103,72,57,114,67,519,183,61,37,117,77,433,132,104,65,125,70,5,8,0,12,19,23,1400000US08001007801,"Census Tract 78.01, Adams County, Colorado"
2822,315,103,60,0,12,0,12,0,12,21,25,44,61,29,45,55,59,230,108,43,38,68,48,115,73,141,80,119,76,92,78,999,236,132,100,152,84,231,87,56,40,105,67,71,48,0,12,16,17,1400000US08001007802,"Census Tract 78.02, Adams County, Colorado"
3402,276,8,13,0,17,8,12,23,37,16,26,44,48,2,4,41,43,170,84,122,100,100,64,160,103,129,76,140,117,59,50,916,195,124,61,203,82,298,129,309,116,313,125,184,82,21,23,12,18,1400000US08001007900,"Census Tract 79, Adams County, Colorado"
3604,367,154,91,0,17,16,27,83,101,23,36,28,44,0,17,41,42,210,153,53,62,18,22,187,135,6,15,94,75,154,95,914,215,194,110,276,161,492,164,256,137,244,110,144,69,9,14,8,12,1400000US08001008000,"Census Tract 80, Adams County, Colorado"
1151,163,23,29,0,12,0,12,22,30,0,12,0,12,0,12,0,12,15,18,0,12,40,53,20,46,5,11,0,12,4,8,127,74,10,23,32,25,68,43,104,38,376,112,116,50,124,73,65,32,1400000US08001008100,"Census Tract 81, Adams County, Colorado"
4310,375,75,62,0,17,11,16,0,17,0,17,0,17,0,17,24,35,53,63,53,36,113,90,94,76,137,93,290,137,160,80,1332,274,334,192,165,63,607,194,424,151,278,100,89,46,16,19,55,35,1400000US08001008200,"Census Tract 82, Adams County, Colorado"
3451,340,68,60,0,17,10,15,0,17,0,17,6,10,0,17,0,17,24,42,87,57,108,110,138,82,122,104,82,70,41,27,1317,358,125,63,179,76,409,154,339,131,292,99,86,54,0,17,18,22,1400000US08001008308,"Census Tract 83.08, Adams County, Colorado"
2292,232,17,20,0,12,0,12,0,12,0,12,0,12,0,12,36,53,169,102,9,13,78,59,147,99,69,65,102,60,22,31,1025,232,83,57,84,47,175,75,87,53,85,63,95,56,9,11,0,12,1400000US08001008309,"Census Tract 83.09, Adams County, Colorado"
5435,439,101,131,0,17,11,30,0,17,0,17,87,131,0,17,20,33,107,102,0,17,148,94,186,147,79,72,153,126,63,51,1534,374,154,83,350,162,870,234,471,163,784,218,259,133,11,18,47,56,1400000US08001008353,"Census Tract 83.53, Adams County, Colorado"
3415,264,27,26,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,10,16,0,12,27,21,25,21,151,55,1073,255,183,84,365,113,526,156,489,177,433,112,69,42,37,33,0,12,1400000US08001008401,"Census Tract 84.01, Adams County, Colorado"
3220,223,6,9,0,17,0,17,0,17,0,17,0,17,0,17,0,17,31,31,0,17,0,17,18,21,0,17,25,25,59,42,721,134,122,82,316,97,684,172,457,171,517,132,242,87,11,19,11,17,1400000US08001008402,"Census Tract 84.02, Adams County, Colorado"
4911,333,150,120,0,17,0,17,0,17,0,17,15,25,0,17,0,17,14,47,11,18,58,67,24,35,37,34,48,45,145,80,1399,334,221,110,392,150,791,195,557,167,738,235,260,184,17,28,34,40,1400000US08001008505,"Census Tract 85.05, Adams County, Colorado"
4271,396,181,93,0,17,0,17,0,17,0,17,21,34,0,17,0,17,58,71,35,43,29,40,29,33,12,19,145,94,61,60,1533,365,179,123,284,130,674,220,567,234,325,130,138,120,0,17,0,17,1400000US08001008506,"Census Tract 85.06, Adams County, Colorado"
3985,291,13,22,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,51,55,74,90,36,43,73,51,193,150,1238,366,275,156,289,137,874,245,298,108,417,176,136,89,18,25,0,17,1400000US08001008507,"Census Tract 85.07, Adams County, Colorado"
3637,202,94,64,0,17,0,17,0,17,0,17,0,17,0,17,0,17,30,47,11,17,0,17,13,20,33,39,54,47,90,45,793,168,154,72,407,126,605,131,364,130,706,171,231,92,41,46,11,17,1400000US08001008508,"Census Tract 85.08, Adams County, Colorado"
6398,408,87,93,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,62,86,0,17,36,43,79,66,60,56,1749,367,391,150,629,199,1351,263,727,219,924,234,261,99,42,33,0,17,1400000US08001008523,"Census Tract 85.23, Adams County, Colorado"
5974,345,19,32,0,17,0,17,0,17,0,17,0,17,0,17,0,17,66,58,0,17,10,18,27,33,0,17,57,44,197,126,994,260,190,115,554,158,894,210,651,161,1432,221,796,253,54,48,33,40,1400000US08001008524,"Census Tract 85.24, Adams County, Colorado"
4838,257,82,109,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,153,174,0,17,30,32,75,85,199,126,779,226,46,43,384,160,857,211,415,153,1144,246,548,161,59,57,67,59,1400000US08001008526,"Census Tract 85.26, Adams County, Colorado"
5287,415,54,68,0,17,0,17,0,17,0,17,0,17,0,17,0,17,42,59,0,17,0,17,108,107,104,114,204,133,172,83,1233,290,54,52,333,158,865,247,554,178,1104,295,392,178,51,58,17,27,1400000US08001008529,"Census Tract 85.29, Adams County, Colorado"
4870,363,87,78,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,20,33,5,9,0,17,64,62,90,77,52,60,1087,234,158,104,316,130,932,271,541,163,1100,256,349,116,29,31,40,53,1400000US08001008533,"Census Tract 85.33, Adams County, Colorado"
2924,203,29,34,0,12,0,12,0,12,0,12,9,14,0,12,12,20,14,23,0,12,0,12,74,79,26,40,111,83,64,47,756,184,106,58,288,89,523,122,339,114,407,121,140,76,26,30,0,12,1400000US08001008534,"Census Tract 85.34, Adams County, Colorado"
2509,288,22,29,0,12,0,12,0,12,0,12,0,12,0,12,28,44,16,22,0,12,0,12,61,59,83,84,96,75,33,33,599,221,142,70,137,69,316,113,253,97,488,137,195,87,20,30,20,24,1400000US08001008535,"Census Tract 85.35, Adams County, Colorado"
2223,157,15,23,0,12,0,12,0,12,0,12,0,12,0,12,0,12,33,40,0,12,0,12,9,14,43,42,28,27,30,24,445,134,42,31,166,53,423,162,248,100,475,116,203,72,27,24,36,28,1400000US08001008536,"Census Tract 85.36, Adams County, Colorado"
4051,260,36,41,0,17,0,17,0,17,0,17,62,62,0,17,0,17,73,86,0,17,59,56,20,25,87,54,105,67,102,69,1006,234,224,87,519,148,494,115,316,101,667,149,263,105,10,16,8,13,1400000US08001008537,"Census Tract 85.37, Adams County, Colorado"
4849,251,34,42,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,23,36,24,40,25,31,78,72,573,191,120,75,425,158,984,199,483,162,1319,287,649,212,32,36,80,61,1400000US08001008538,"Census Tract 85.38, Adams County, Colorado"
6550,375,78,84,0,19,0,19,0,19,0,19,0,19,0,19,0,19,60,61,0,19,21,35,0,19,0,19,162,118,94,71,1686,425,318,166,463,152,997,220,738,237,1404,216,497,174,21,25,11,18,1400000US08001008539,"Census Tract 85.39, Adams County, Colorado"
5282,333,35,59,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,43,50,17,28,39,48,61,59,1193,342,143,91,350,160,741,189,703,234,1443,268,342,141,132,105,40,49,1400000US08001008540,"Census Tract 85.40, Adams County, Colorado"
4861,264,7,13,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,8,13,60,53,32,26,16,24,35,27,859,194,122,58,454,131,750,186,486,139,1277,196,622,131,95,52,38,27,1400000US08001008541,"Census Tract 85.41, Adams County, Colorado"
5854,362,79,70,0,17,0,17,0,17,0,17,0,17,0,17,0,17,20,31,0,17,0,17,107,168,107,118,0,17,208,207,1097,339,257,201,419,130,966,246,647,185,1294,285,500,159,17,28,136,121,1400000US08001008542,"Census Tract 85.42, Adams County, Colorado"
5679,320,99,79,0,17,0,17,0,17,0,17,0,17,0,17,0,17,137,105,0,17,15,28,131,114,190,150,160,121,113,79,1346,305,391,162,368,171,830,228,460,173,977,246,408,169,54,51,0,17,1400000US08001008543,"Census Tract 85.43, Adams County, Colorado"
3569,173,0,17,0,17,0,17,0,17,0,17,11,18,0,17,0,17,0,17,29,47,6,9,0,17,57,52,36,59,47,43,447,125,78,46,243,101,425,168,333,116,1205,179,551,124,65,43,36,28,1400000US08001008544,"Census Tract 85.44, Adams County, Colorado"
4736,295,171,125,0,17,0,17,0,17,0,17,0,17,38,54,0,17,2,5,0,17,16,22,0,17,0,17,28,33,76,65,949,258,87,59,432,161,531,148,494,154,1268,244,523,161,121,71,0,17,1400000US08001008545,"Census Tract 85.45, Adams County, Colorado"
2587,257,100,82,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,28,29,10,16,0,12,37,35,69,52,605,211,40,30,178,80,413,184,245,85,651,144,127,57,32,39,52,57,1400000US08001008546,"Census Tract 85.46, Adams County, Colorado"
2402,265,28,42,0,12,0,12,0,12,12,18,0,12,0,12,0,12,46,62,0,12,0,12,42,64,50,52,56,46,31,32,592,157,147,66,160,60,380,108,172,67,603,147,79,46,4,9,0,12,1400000US08001008547,"Census Tract 85.47, Adams County, Colorado"
1156,79,26,30,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,2,4,7,11,5,8,172,60,36,29,126,52,156,65,105,45,332,79,139,58,20,18,30,20,1400000US08001008548,"Census Tract 85.48, Adams County, Colorado"
2539,158,14,21,0,12,0,12,0,12,0,12,0,12,0,12,0,12,14,25,0,12,0,12,64,66,50,52,62,45,84,70,529,118,73,39,191,68,391,129,248,94,558,149,169,84,75,68,17,18,1400000US08001008549,"Census Tract 85.49, Adams County, Colorado"
5576,365,67,59,0,17,0,17,0,17,0,17,0,17,0,17,0,17,94,85,0,17,40,62,36,57,59,82,96,67,172,99,1259,270,237,111,542,191,861,221,495,162,1261,239,306,141,41,40,10,17,1400000US08001008550,"Census Tract 85.50, Adams County, Colorado"
999,81,19,22,0,12,0,12,0,12,0,12,0,12,12,18,0,12,18,20,4,6,8,12,0,12,7,10,7,10,36,26,209,59,51,30,65,30,74,32,80,30,275,58,116,43,11,11,7,10,1400000US08001008551,"Census Tract 85.51, Adams County, Colorado"
1204,121,49,34,0,12,0,12,6,9,0,12,18,28,0,12,10,11,45,49,0,12,0,12,3,6,28,38,14,13,19,28,470,115,70,45,92,47,212,81,99,46,51,34,18,23,0,12,0,12,1400000US08001008603,"Census Tract 86.03, Adams County, Colorado"
3846,370,11,18,0,17,0,17,0,17,0,17,0,17,18,31,0,17,36,36,38,36,25,35,90,72,93,65,270,145,63,49,1105,210,627,175,306,94,505,122,309,118,257,104,70,52,0,17,23,35,1400000US08001008604,"Census Tract 86.04, Adams County, Colorado"
2826,260,24,27,0,12,0,12,0,12,0,12,0,12,27,43,0,12,28,42,12,21,37,46,16,27,49,57,0,12,56,36,783,209,142,73,312,111,500,191,210,84,421,104,188,91,21,24,0,12,1400000US08001008605,"Census Tract 86.05, Adams County, Colorado"
4097,335,174,149,0,17,0,17,0,17,0,17,69,82,0,17,49,58,52,58,0,17,10,23,45,56,105,112,136,132,154,108,1174,297,175,87,190,100,698,168,485,197,386,171,131,69,14,24,50,47,1400000US08001008606,"Census Tract 86.06, Adams County, Colorado"
3427,328,154,123,0,17,0,17,0,17,14,22,18,21,32,51,27,47,256,113,19,31,67,56,154,100,14,22,100,69,97,56,1204,231,368,176,78,46,419,121,270,161,116,71,16,19,4,9,0,17,1400000US08001008705,"Census Tract 87.05, Adams County, Colorado"
3434,345,123,76,0,17,0,17,0,17,10,16,7,13,0,17,12,20,232,187,31,32,72,49,224,129,213,99,196,119,136,74,1017,263,107,62,202,90,279,126,237,101,258,100,78,63,0,17,0,17,1400000US08001008706,"Census Tract 87.06, Adams County, Colorado"
4669,334,322,123,0,17,0,17,0,17,0,17,32,33,14,23,24,39,66,69,44,75,135,104,132,109,354,177,261,177,406,177,1076,273,315,152,280,134,450,222,317,184,390,185,51,47,0,17,0,17,1400000US08001008709,"Census Tract 87.09, Adams County, Colorado"
3150,269,84,75,0,17,0,17,0,17,14,22,27,29,17,25,34,42,132,89,28,45,130,96,111,67,182,116,202,117,138,82,896,185,345,133,81,53,361,109,212,105,148,86,8,14,0,17,0,17,1400000US08001008801,"Census Tract 88.01, Adams County, Colorado"
3037,330,124,93,0,17,0,17,0,17,17,28,21,21,23,35,113,95,371,202,0,17,158,79,130,99,209,137,112,70,35,32,800,221,295,120,86,64,263,113,121,105,123,74,36,41,0,17,0,17,1400000US08001008802,"Census Tract 88.02, Adams County, Colorado"
1473,130,46,37,0,12,0,12,0,12,0,12,12,15,19,23,0,12,79,48,7,10,12,19,49,39,72,52,71,63,70,41,454,101,120,54,65,35,168,87,117,54,61,34,46,27,5,7,0,12,1400000US08001008901,"Census Tract 89.01, Adams County, Colorado"
2704,224,5,11,0,12,0,12,0,12,0,12,24,41,0,12,32,50,138,106,20,24,73,59,86,71,76,48,108,71,75,46,792,180,188,80,290,99,238,98,248,74,231,109,73,57,0,12,7,11,1400000US08001009001,"Census Tract 90.01, Adams County, Colorado"
6387,857,83,96,0,19,0,19,0,19,0,19,0,19,163,246,151,193,316,231,15,24,182,152,194,184,306,236,157,150,72,57,1327,378,473,224,445,183,1296,384,339,155,624,206,244,145,0,19,0,19,1400000US08001009002,"Census Tract 90.02, Adams County, Colorado"
2939,282,83,69,0,12,0,12,0,12,0,12,0,12,7,13,0,12,244,253,0,12,35,40,85,48,59,46,122,74,37,38,846,160,251,114,378,183,270,116,211,96,197,96,95,58,19,28,0,12,1400000US08001009101,"Census Tract 91.01, Adams County, Colorado"
2374,265,183,132,0,12,0,12,0,12,30,47,0,12,29,46,30,45,92,76,0,12,128,61,84,66,104,82,45,55,104,65,546,171,163,99,139,85,320,133,131,68,180,78,66,54,0,12,0,12,1400000US08001009103,"Census Tract 91.03, Adams County, Colorado"
3992,336,114,108,0,17,0,17,0,17,24,40,0,17,0,17,8,12,160,101,6,11,47,69,42,36,88,65,150,80,121,90,1140,278,338,168,164,66,447,147,532,160,428,123,92,54,35,49,56,57,1400000US08001009104,"Census Tract 91.04, Adams County, Colorado"
2826,279,53,40,0,12,0,12,0,12,0,12,11,19,24,33,0,12,203,117,17,29,57,47,103,113,84,56,50,38,97,50,682,125,306,97,206,85,368,146,206,95,289,118,58,36,12,20,0,12,1400000US08001009202,"Census Tract 92.02, Adams County, Colorado"
2812,272,89,64,0,17,0,17,0,17,19,31,17,26,0,17,53,60,84,112,51,50,57,53,0,17,100,68,71,63,20,33,783,231,278,139,119,68,402,129,372,145,250,109,47,34,0,17,0,17,1400000US08001009203,"Census Tract 92.03, Adams County, Colorado"
4551,488,40,47,0,17,0,17,0,17,0,17,0,17,0,17,0,17,120,159,0,17,18,28,52,63,34,40,0,17,191,114,789,224,392,207,270,126,681,228,485,201,1094,307,191,93,69,64,125,140,1400000US08001009204,"Census Tract 92.04, Adams County, Colorado"
1547,116,30,27,0,12,0,12,0,12,0,12,6,10,0,12,0,12,34,25,0,12,0,12,5,8,40,35,12,17,29,24,232,58,134,57,115,52,257,80,130,60,392,91,92,43,9,14,30,31,1400000US08001009206,"Census Tract 92.06, Adams County, Colorado"
3116,220,105,101,0,12,0,12,0,12,0,12,0,12,0,12,0,12,48,60,0,12,56,75,52,50,63,46,32,33,97,85,1039,191,154,77,270,96,356,109,385,110,365,121,94,63,0,12,0,12,1400000US08001009207,"Census Tract 92.07, Adams County, Colorado"
3853,282,53,83,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,105,97,127,179,5,12,44,55,28,32,831,275,79,62,442,171,729,249,456,200,684,223,245,151,15,20,10,18,1400000US08001009304,"Census Tract 93.04, Adams County, Colorado"
2573,225,55,48,0,12,0,12,0,12,0,12,0,12,0,12,8,13,69,99,16,25,16,26,59,54,35,36,35,52,70,71,611,135,232,106,182,87,477,157,247,92,337,103,124,65,0,12,0,12,1400000US08001009306,"Census Tract 93.06, Adams County, Colorado"
2210,200,54,50,0,12,0,12,40,67,0,12,0,12,23,26,25,40,74,59,20,32,45,57,114,81,11,19,68,48,67,49,526,156,114,75,147,81,235,93,350,126,192,96,94,81,11,17,0,12,1400000US08001009307,"Census Tract 93.07, Adams County, Colorado"
3063,338,181,106,0,12,0,12,17,26,68,99,3,11,0,12,0,12,77,64,7,12,114,73,108,112,67,49,140,67,144,99,562,182,328,99,260,114,444,153,328,137,178,81,37,38,0,12,0,12,1400000US08001009308,"Census Tract 93.08, Adams County, Colorado"
2854,185,69,54,0,12,0,12,13,19,30,28,0,12,0,12,38,42,128,87,0,12,0,12,217,132,55,63,50,41,126,80,518,177,139,69,199,84,536,137,316,109,340,113,73,39,0,12,7,11,1400000US08001009309,"Census Tract 93.09, Adams County, Colorado"
3899,377,126,111,0,17,0,17,0,17,0,17,0,17,0,17,0,17,199,124,53,54,114,95,164,95,41,54,160,97,64,53,980,214,245,121,233,105,683,168,301,113,380,149,140,64,0,17,16,19,1400000US08001009310,"Census Tract 93.10, Adams County, Colorado"
4451,494,149,69,0,17,0,17,0,17,92,102,0,17,0,17,0,17,364,159,35,60,205,160,333,186,70,61,277,147,49,42,1220,362,331,151,323,123,527,208,261,185,148,90,40,45,0,17,27,31,1400000US08001009316,"Census Tract 93.16, Adams County, Colorado"
3535,383,168,116,0,17,0,17,0,17,0,17,0,17,0,17,160,244,79,119,0,17,117,119,45,45,95,92,260,159,103,93,699,237,287,137,312,222,269,138,217,165,548,192,176,103,0,17,0,17,1400000US08001009318,"Census Tract 93.18, Adams County, Colorado"
1574,220,82,58,0,12,7,10,20,33,0,12,0,12,0,12,17,26,88,54,27,31,79,51,75,54,63,45,84,43,105,57,373,109,76,46,74,38,172,72,65,30,94,41,73,57,0,12,0,12,1400000US08001009319,"Census Tract 93.19, Adams County, Colorado"
1567,216,156,129,0,12,0,12,0,12,12,19,0,12,0,12,0,12,0,12,0,12,0,12,70,63,95,68,82,70,25,29,417,133,71,65,215,102,155,66,70,53,153,87,37,31,9,14,0,12,1400000US08001009320,"Census Tract 93.20, Adams County, Colorado"
2471,273,75,64,0,12,0,12,0,12,0,12,0,12,0,12,55,74,125,69,0,12,0,12,41,41,82,51,60,52,57,46,739,180,106,73,127,55,343,131,232,103,343,109,63,42,0,12,23,21,1400000US08001009321,"Census Tract 93.21, Adams County, Colorado"
3089,280,91,65,0,17,0,17,0,17,0,17,12,20,0,17,26,43,0,17,0,17,73,75,120,85,193,137,146,84,64,38,815,264,196,122,152,79,467,159,200,97,389,115,136,92,9,14,0,17,1400000US08001009322,"Census Tract 93.22, Adams County, Colorado"
2520,267,11,14,0,12,0,12,0,12,0,12,0,12,0,12,51,56,34,51,0,12,23,28,0,12,67,80,89,54,86,64,480,131,199,83,214,76,479,128,313,134,295,97,145,97,0,12,34,39,1400000US08001009323,"Census Tract 93.23, Adams County, Colorado"
4059,368,0,17,0,17,19,31,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,203,249,20,31,549,196,102,73,151,81,594,188,382,136,1299,253,613,176,82,81,45,50,1400000US08001009325,"Census Tract 93.25, Adams County, Colorado"
2058,139,69,48,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,20,14,0,12,6,17,15,23,277,86,76,42,165,59,423,115,128,69,586,152,227,85,31,27,35,27,1400000US08001009326,"Census Tract 93.26, Adams County, Colorado"
2905,233,50,40,0,12,0,12,0,12,0,12,0,12,0,12,0,12,10,15,18,21,0,12,57,64,0,12,137,120,96,66,781,179,129,65,215,81,376,109,203,85,481,132,293,102,17,19,42,31,1400000US08001009327,"Census Tract 93.27, Adams County, Colorado"
3670,263,196,108,0,17,0,17,0,17,0,17,12,20,9,14,13,25,32,48,40,36,43,52,85,103,41,34,131,105,124,112,751,145,303,127,294,89,353,113,350,85,712,152,156,63,10,15,15,17,1400000US08001009401,"Census Tract 94.01, Adams County, Colorado"
3158,262,63,60,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,13,21,42,44,34,36,41,36,79,56,698,158,183,85,367,118,539,139,261,100,617,181,163,69,42,33,16,19,1400000US08001009406,"Census Tract 94.06, Adams County, Colorado"
3312,273,109,88,0,17,0,17,0,17,0,17,92,129,0,17,73,69,124,129,14,21,34,37,116,114,41,48,125,91,111,58,773,193,163,78,156,71,410,140,297,99,454,123,159,60,19,22,42,36,1400000US08001009407,"Census Tract 94.07, Adams County, Colorado"
3250,209,20,22,0,12,0,12,0,12,0,12,0,12,0,12,0,12,9,15,0,12,0,12,0,12,0,12,7,12,15,17,341,92,55,40,142,81,445,123,335,96,1157,166,596,124,82,51,46,33,1400000US08001009408,"Census Tract 94.08, Adams County, Colorado"
4335,327,12,20,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,29,56,64,56,9,15,40,46,653,201,108,75,159,84,644,206,257,119,1188,210,880,232,123,76,169,98,1400000US08001009409,"Census Tract 94.09, Adams County, Colorado"
2316,162,45,47,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,9,13,0,12,71,59,188,69,35,29,133,60,298,94,174,88,815,123,376,77,115,45,57,46,1400000US08001009410,"Census Tract 94.10, Adams County, Colorado"
2244,143,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,11,18,0,12,18,18,341,102,25,23,245,73,315,83,153,65,706,118,373,101,8,12,49,35,1400000US08001009411,"Census Tract 94.11, Adams County, Colorado"
2134,214,0,12,0,12,0,12,0,12,47,54,0,12,0,12,36,47,107,101,0,12,217,151,110,145,33,33,8,14,63,57,540,168,106,72,212,153,268,133,54,40,243,106,65,40,15,22,10,17,1400000US08001009501,"Census Tract 95.01, Adams County, Colorado"
3470,317,127,111,0,12,0,12,0,12,0,12,46,37,56,65,29,42,177,128,0,12,75,78,43,45,166,75,135,82,38,31,733,161,214,104,345,114,506,140,134,66,355,104,237,84,15,24,39,39,1400000US08001009502,"Census Tract 95.02, Adams County, Colorado"
2601,266,127,91,0,12,0,12,29,45,42,63,29,36,0,12,71,77,177,121,68,63,116,99,175,81,83,73,97,85,0,12,363,115,157,92,138,76,134,85,226,98,400,141,157,73,0,12,12,20,1400000US08001009553,"Census Tract 95.53, Adams County, Colorado"
3721,394,21,39,0,17,0,17,0,17,0,17,0,17,0,17,0,17,9,17,0,17,39,48,76,106,126,108,144,108,102,62,1071,295,80,57,349,114,889,249,283,124,461,150,71,70,0,17,0,17,1400000US08001009603,"Census Tract 96.03, Adams County, Colorado"
3173,246,49,41,0,12,0,12,0,12,0,12,0,12,7,11,0,12,0,12,68,68,58,44,100,70,54,38,90,66,98,62,832,209,234,102,307,107,446,121,197,84,411,104,175,61,25,37,22,19,1400000US08001009604,"Census Tract 96.04, Adams County, Colorado"
1725,254,71,64,0,12,0,12,0,12,0,12,10,16,52,75,0,12,96,93,0,12,69,85,31,30,123,110,20,23,94,59,414,148,199,97,16,20,224,100,96,64,147,90,63,43,0,12,0,12,1400000US08001009606,"Census Tract 96.06, Adams County, Colorado"
3236,281,26,38,0,12,17,26,0,12,0,12,12,18,8,12,73,102,56,46,26,43,16,20,78,67,50,47,110,65,40,35,718,184,186,86,238,95,546,163,296,94,487,126,221,88,32,29,0,12,1400000US08001009607,"Census Tract 96.07, Adams County, Colorado"
2531,182,23,28,0,12,0,12,0,12,0,12,0,12,0,12,30,48,84,87,35,43,19,31,6,10,0,12,42,30,82,65,809,154,121,65,179,76,229,101,58,41,454,116,303,108,41,35,16,20,1400000US08001009608,"Census Tract 96.08, Adams County, Colorado"
2398,341,86,85,0,12,0,12,0,12,0,12,65,72,39,65,0,12,59,75,23,29,52,57,155,108,3,8,15,24,56,49,235,125,186,111,199,94,451,201,185,117,434,169,125,65,9,14,21,24,1400000US08001009751,"Census Tract 97.51, Adams County, Colorado"
2048,174,44,38,0,12,0,12,0,12,0,12,0,12,0,12,0,12,73,52,13,20,18,16,63,45,45,41,34,28,32,25,460,112,191,79,179,79,321,125,150,69,300,92,112,65,8,12,5,7,1400000US08001009752,"Census Tract 97.52, Adams County, Colorado"
2009,191,42,40,0,12,0,12,0,12,0,12,15,24,0,12,114,121,56,48,0,12,115,101,94,80,38,38,54,41,146,86,610,182,144,80,81,69,268,116,96,56,118,60,10,15,8,12,0,12,1400000US08001015000,"Census Tract 150, Adams County, Colorado"
3955,193,0,17,10,16,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,19,20,9,14,8,13,44,46,22,24,624,194,62,51,229,96,700,158,279,93,1297,190,545,124,28,29,79,56,1400000US08001060000,"Census Tract 600, Adams County, Colorado"
5125,350,95,82,0,17,0,17,0,17,0,17,0,17,0,17,0,17,34,42,0,17,0,17,77,105,11,19,77,56,15,23,915,274,187,105,192,93,1064,238,347,126,1408,363,553,143,94,89,56,71,1400000US08001060100,"Census Tract 601, Adams County, Colorado"
2947,316,31,41,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,20,31,46,42,20,21,450,172,61,38,308,131,487,133,258,95,707,165,463,141,75,45,21,23,1400000US08001060200,"Census Tract 602, Adams County, Colorado"
1777,137,8,16,0,12,0,12,0,12,0,12,0,12,0,12,0,12,6,9,10,16,0,12,40,30,0,12,66,88,6,9,318,91,50,32,102,39,189,64,172,58,578,93,174,57,51,35,7,9,1400000US08001061200,"Census Tract 612, Adams County, Colorado"
0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,1400000US08001988700,"Census Tract 9887, Adams County, Colorado"
1262,161,13,17,0,12,0,12,0,12,0,12,23,24,24,27,16,24,15,18,0,12,10,14,43,43,18,15,0,12,32,26,303,78,35,22,67,28,278,77,87,34,221,64,60,32,8,8,9,8,1400000US08003960000,"Census Tract 9600, Alamosa County, Colorado"
1712,183,43,32,0,12,6,11,0,12,4,5,6,12,15,23,0,12,31,34,7,11,12,12,9,15,16,25,5,8,12,11,437,130,65,37,89,41,293,82,167,57,300,61,124,48,25,20,46,26,1400000US08003960100,"Census Tract 9601, Alamosa County, Colorado"
3473,297,29,41,0,17,0,17,0,17,0,17,0,17,0,17,0,17,134,122,11,19,0,17,26,30,2,4,59,54,10,17,809,201,181,110,310,120,442,160,232,147,584,178,421,150,96,74,127,63,1400000US08003960200,"Census Tract 9602, Alamosa County, Colorado"
3172,360,109,67,0,17,0,17,17,24,0,17,34,41,0,17,123,105,30,31,37,41,17,22,142,80,40,43,63,49,21,27,607,143,305,109,397,168,543,150,299,123,297,102,77,59,14,23,0,17,1400000US08003960300,"Census Tract 9603, Alamosa County, Colorado"
1606,166,9,14,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,12,19,17,22,223,95,59,45,142,85,274,112,130,66,600,139,131,68,9,14,0,12,1400000US08005004951,"Census Tract 49.51, Arapahoe County, Colorado"
2540,189,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,72,86,0,12,39,49,0,12,58,54,35,49,49,71,305,156,109,72,42,46,339,139,97,69,1006,178,256,96,81,43,52,43,1400000US08005004952,"Census Tract 49.52, Arapahoe County, Colorado"
