B15003_001E,B15003_001M,B15003_002E,B15003_002M,B15003_003E,B15003_003M,B15003_004E,B15003_004M,B15003_005E,B15003_005M,B15003_006E,B15003_006M,B15003_007E,B15003_007M,B15003_008E,B15003_008M,B15003_009E,B15003_009M,B15003_010E,B15003_010M,B15003_011E,B15003_011M,B15003_012E,B15003_012M,B15003_013E,B15003_013M,B15003_014E,B15003_014M,B15003_015E,B15003_015M,B15003_016E,B15003_016M,B15003_017E,B15003_017M,B15003_018E,B15003_018M,B15003_019E,B15003_019M,B15003_020E,B15003_020M,B15003_021E,B15003_021M,B15003_022E,B15003_022M,B15003_023E,B15003_023M,B15003_024E,B15003_024M,B15003_025E,B15003_025M,GEO_ID,NAME
2366,142,12,18,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,1,4,24,29,0,12,0,12,102,59,83,97,75,55,126,51,68,43,857,160,600,103,145,56,273,90,1400000US08013012509,"Census Tract 125.09, Boulder County, Colorado"
3090,229,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,24,38,0,12,0,12,118,70,19,20,23,23,123,51,102,57,1074,191,799,139,254,74,554,121,1400000US08013012510,"Census Tract 125.10, Boulder County, Colorado"
2524,219,13,20,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,32,47,0,17,134,59,0,17,68,44,463,164,41,30,722,147,539,96,234,91,278,95,1400000US08013012511,"Census Tract 125.11, Boulder County, Colorado"
2451,158,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,139,71,69,75,18,20,148,78,96,42,859,165,701,100,172,80,249,85,1400000US08013012603,"Census Tract 126.03, Boulder County, Colorado"
725,141,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,72,56,0,12,14,17,39,30,23,20,227,63,207,83,31,19,112,43,1400000US08013012605,"Census Tract 126.05, Boulder County, Colorado"
1832,279,14,23,0,17,0,17,18,28,0,17,0,17,0,17,0,17,19,28,0,17,0,17,0,17,0,17,0,17,0,17,160,64,14,22,122,78,235,106,139,92,579,191,371,138,23,37,138,70,1400000US08013012607,"Census Tract 126.07, Boulder County, Colorado"
1562,167,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,6,14,10,10,0,12,18,19,107,56,20,18,45,22,102,49,111,57,578,101,348,69,102,43,115,50,1400000US08013012608,"Census Tract 126.08, Boulder County, Colorado"
4321,262,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,60,83,0,17,350,154,45,42,90,59,401,135,210,103,1590,208,994,197,353,113,228,84,1400000US08013012701,"Census Tract 127.01, Boulder County, Colorado"
3457,215,17,18,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,119,55,62,47,121,54,377,105,217,89,1513,229,772,127,78,37,181,68,1400000US08013012705,"Census Tract 127.05, Boulder County, Colorado"
1734,243,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,22,30,14,27,29,37,41,46,86,57,25,25,10,15,200,110,167,152,141,79,184,106,91,68,421,87,191,58,76,33,36,23,1400000US08013012707,"Census Tract 127.07, Boulder County, Colorado"
