geoid,name,B01003001,"B01003001, Error"
14000US08005005622,"Census Tract 56.22, Arapahoe, CO",2768,310
14000US08005005623,"Census Tract 56.23, Arapahoe, CO",3911,332
14000US08005005624,"Census Tract 56.24, Arapahoe, CO",2355,283
14000US08005005625,"Census Tract 56.25, Arapahoe, CO",3968,443
14000US08005005626,"Census Tract 56.26, Arapahoe, CO",3889,591
14000US08005005627,"Census Tract 56.27, Arapahoe, CO",4702,358
14000US08005005628,"Census Tract 56.28, Arapahoe, CO",5961,709
14000US08005005629,"Census Tract 56.29, Arapahoe, CO",2722,409
14000US08005005630,"Census Tract 56.30, Arapahoe, CO",5331,518
14000US08005005631,"Census Tract 56.31, Arapahoe, CO",3440,473
14000US08005005632,"Census Tract 56.32, Arapahoe, CO",3062,271
14000US08005005633,"Census Tract 56.33, Arapahoe, CO",3742,892
14000US08005005634,"Census Tract 56.34, Arapahoe, CO",2853,261
14000US08005005635,"Census Tract 56.35, Arapahoe, CO",4742,386
14000US08005005636,"Census Tract 56.36, Arapahoe, CO",1714,236
14000US08005005800,"Census Tract 58, Arapahoe, CO",2794,447
14000US08005005951,"Census Tract 59.51, Arapahoe, CO",4686,573
14000US08005005952,"Census Tract 59.52, Arapahoe, CO",3917,446
14000US08005006000,"Census Tract 60, Arapahoe, CO",2674,344
14000US08005006100,"Census Tract 61, Arapahoe, CO",3497,526
14000US08005006200,"Census Tract 62, Arapahoe, CO",3591,493
14000US08005006300,"Census Tract 63, Arapahoe, CO",2673,361
14000US08005006400,"Census Tract 64, Arapahoe, CO",3154,448
14000US08005006501,"Census Tract 65.01, Arapahoe, CO",2282,370
14000US08005006502,"Census Tract 65.02, Arapahoe, CO",3370,389
14000US08005006601,"Census Tract 66.01, Arapahoe, CO",5627,771
14000US08005006603,"Census Tract 66.03, Arapahoe, CO",2818,223
14000US08005006604,"Census Tract 66.04, Arapahoe, CO",4385,736
14000US08005006704,"Census Tract 67.04, Arapahoe, CO",4542,243
14000US08005006705,"Census Tract 67.05, Arapahoe, CO",2138,243
14000US08005006706,"Census Tract 67.06, Arapahoe, CO",5774,642
14000US08005006707,"Census Tract 67.07, Arapahoe, CO",5058,387
14000US08005006708,"Census Tract 67.08, Arapahoe, CO",5073,558
14000US08005006709,"Census Tract 67.09, Arapahoe, CO",5243,687
14000US08005006711,"Census Tract 67.11, Arapahoe, CO",4282,686
14000US08005006712,"Census Tract 67.12, Arapahoe, CO",1202,237
14000US08005006713,"Census Tract 67.13, Arapahoe, CO",1795,264
14000US08005006808,"Census Tract 68.08, Arapahoe, CO",5530,521
