B03002_001E,B03002_001M,B03002_002E,B03002_002M,B03002_003E,B03002_003M,B03002_004E,B03002_004M,B03002_005E,B03002_005M,B03002_006E,B03002_006M,B03002_007E,B03002_007M,B03002_008E,B03002_008M,B03002_009E,B03002_009M,B03002_010E,B03002_010M,B03002_011E,B03002_011M,B03002_012E,B03002_012M,B03002_013E,B03002_013M,B03002_014E,B03002_014M,B03002_015E,B03002_015M,B03002_016E,B03002_016M,B03002_017E,B03002_017M,B03002_018E,B03002_018M,B03002_019E,B03002_019M,B03002_020E,B03002_020M,B03002_021E,B03002_021M,GEO_ID,NAME
6027,372,4550,536,4090,553,14,20,0,17,235,109,0,17,28,39,183,117,0,17,183,117,1477,558,1002,514,58,89,0,17,0,17,0,17,371,322,46,77,0,17,46,77,1400000US08014030600,"Census Tract 306, Broomfield County, Colorado"
2941,185,2478,231,2316,235,12,20,29,32,93,76,0,12,0,12,28,32,0,12,28,32,463,142,405,140,0,12,0,12,0,12,0,12,32,36,26,35,26,35,0,12,1400000US08014030700,"Census Tract 307, Broomfield County, Colorado"
5958,311,5110,265,4495,253,9,15,0,17,480,83,0,17,0,17,126,70,0,17,126,70,848,315,630,294,0,17,0,17,0,17,0,17,174,192,44,47,10,16,34,48,1400000US08014030800,"Census Tract 308, Broomfield County, Colorado"
5423,312,4987,333,4334,327,84,58,18,28,369,84,0,17,0,17,182,124,0,17,182,124,436,191,375,164,0,17,0,17,9,15,0,17,8,16,44,57,44,57,0,17,1400000US08014030900,"Census Tract 309, Broomfield County, Colorado"
5731,245,5038,292,4071,302,127,133,18,30,590,160,0,17,0,17,232,115,39,57,193,83,693,230,544,182,0,17,0,17,0,17,0,17,36,45,113,169,0,17,113,169,1400000US08014031000,"Census Tract 310, Broomfield County, Colorado"
6385,415,5716,432,4949,411,107,71,70,92,349,121,0,17,0,17,241,113,0,17,241,113,669,202,512,183,0,17,32,34,0,17,0,17,57,50,68,74,0,17,68,74,1400000US08014031100,"Census Tract 311, Broomfield County, Colorado"
4872,356,4169,299,3679,268,58,40,21,37,321,169,0,12,0,12,90,67,0,12,90,67,703,297,447,210,0,12,8,14,0,12,0,12,164,161,84,83,84,83,0,12,1400000US08014031200,"Census Tract 312, Broomfield County, Colorado"
2574,139,2456,155,2171,152,21,25,0,12,135,69,0,12,0,12,129,72,0,12,129,72,118,67,118,67,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,1400000US08014031300,"Census Tract 313, Broomfield County, Colorado"
6317,388,5793,373,5074,360,64,71,0,17,552,134,0,17,17,23,86,65,0,17,86,65,524,110,340,175,0,17,0,17,0,17,0,17,27,35,157,117,58,69,99,117,1400000US08014031400,"Census Tract 314, Broomfield County, Colorado"
0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,1400000US08014980100,"Census Tract 9801, Broomfield County, Colorado"
0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,1400000US08014980200,"Census Tract 9802, Broomfield County, Colorado"
0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,1400000US08014980300,"Census Tract 9803, Broomfield County, Colorado"
2768,344,2220,318,2088,304,0,12,0,12,0,12,0,12,0,12,132,138,0,12,132,138,548,250,548,250,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,1400000US08015000100,"Census Tract 1, Chaffee County, Colorado"
4607,386,3998,429,3652,421,5,12,0,12,220,187,0,12,0,12,121,126,8,12,113,123,609,189,501,180,0,12,0,12,12,31,0,12,16,26,80,83,11,19,69,82,1400000US08015000200,"Census Tract 2, Chaffee County, Colorado"
3118,364,2955,355,2946,358,0,12,0,12,9,17,0,12,0,12,0,12,0,12,0,12,163,86,153,80,0,12,0,12,0,12,0,12,10,19,0,12,0,12,0,12,1400000US08015000300,"Census Tract 3, Chaffee County, Colorado"
4954,435,4845,430,4755,437,0,12,0,12,47,76,0,12,43,70,0,12,0,12,0,12,109,111,91,102,0,12,0,12,0,12,0,12,11,19,7,21,0,12,7,21,1400000US08015000401,"Census Tract 4.01, Chaffee County, Colorado"
4110,438,3576,409,3168,334,325,143,79,42,2,5,0,12,0,12,2,4,0,12,2,4,534,176,422,145,0,12,18,25,0,12,0,12,70,111,24,36,0,12,24,36,1400000US08015000402,"Census Tract 4.02, Chaffee County, Colorado"
2026,186,1680,196,1576,196,2,4,0,12,44,43,4,9,0,12,54,59,6,7,48,58,346,160,318,156,0,12,2,6,0,12,0,12,0,12,26,27,24,27,2,4,1400000US08017960600,"Census Tract 9606, Cheyenne County, Colorado"
5277,256,5142,253,4941,237,46,56,1,2,76,41,14,25,0,17,64,71,0,17,64,71,135,95,116,95,0,17,18,35,0,17,0,17,1,2,0,17,0,17,0,17,1400000US08019014700,"Census Tract 147, Clear Creek County, Colorado"
1685,215,1522,177,1408,167,41,44,0,12,0,12,0,12,0,12,73,59,0,12,73,59,163,104,49,56,11,19,0,12,0,12,0,12,0,12,103,67,0,12,103,67,1400000US08019014800,"Census Tract 148, Clear Creek County, Colorado"
2533,239,2169,212,2073,192,16,20,9,13,15,17,0,12,0,12,56,46,0,12,56,46,364,143,360,143,0,12,0,12,0,12,0,12,0,12,4,8,0,12,4,8,1400000US08019014900,"Census Tract 149, Clear Creek County, Colorado"
3762,229,1213,151,1034,146,37,16,72,44,0,12,0,12,20,23,50,26,0,12,50,26,2549,196,2254,190,0,12,106,55,2,3,0,12,102,64,85,52,47,36,38,38,1400000US08021974800,"Census Tract 9748, Conejos County, Colorado"
4366,229,2652,151,2588,146,3,4,0,12,13,19,27,31,0,12,21,19,0,12,21,19,1714,196,1340,185,0,12,29,30,0,12,0,12,292,107,53,44,22,21,31,36,1400000US08021974900,"Census Tract 9749, Conejos County, Colorado"
2061,199,1122,93,1013,90,0,12,15,21,48,12,0,12,0,12,46,37,0,12,46,37,939,167,882,166,0,12,0,12,0,12,0,12,54,36,3,6,3,6,0,12,1400000US08023972600,"Census Tract 9726, Costilla County, Colorado"
1684,199,306,93,237,90,14,23,0,12,0,12,0,12,0,12,55,33,0,12,55,33,1378,167,1179,183,0,12,64,54,0,12,0,12,91,71,44,35,5,8,39,36,1400000US08023972700,"Census Tract 9727, Costilla County, Colorado"
5754,*****,3921,*****,3540,88,203,75,66,34,31,22,0,17,3,7,78,45,0,17,78,45,1833,*****,1558,112,0,17,14,13,3,5,0,17,62,50,196,100,99,71,97,76,1400000US08025969600,"Census Tract 9696, Crowley County, Colorado"
4776,*****,4336,314,4067,310,138,43,44,58,0,12,0,12,0,12,87,51,0,12,87,51,440,314,374,328,0,12,0,12,0,12,0,12,38,43,28,31,6,9,22,30,1400000US08027970100,"Census Tract 9701, Custer County, Colorado"
3407,352,3226,336,3147,337,0,12,29,47,25,29,0,12,0,12,25,34,0,12,25,34,181,103,181,103,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,1400000US08029964600,"Census Tract 9646, Delta County, Colorado"
4175,283,3661,383,3553,378,9,18,30,51,44,45,0,12,0,12,25,47,0,12,25,47,514,203,343,183,161,152,0,12,0,12,0,12,10,16,0,12,0,12,0,12,1400000US08029964700,"Census Tract 9647, Delta County, Colorado"
4117,439,3056,370,2654,364,137,77,73,67,165,95,0,12,0,12,27,38,0,12,27,38,1061,296,890,273,0,12,15,23,0,12,0,12,124,109,32,31,11,20,21,24,1400000US08029964800,"Census Tract 9648, Delta County, Colorado"
5849,469,4326,391,4159,394,11,21,0,17,2,5,0,17,0,17,154,136,0,17,154,136,1523,392,1391,385,26,46,0,17,59,83,0,17,47,53,0,17,0,17,0,17,1400000US08029964900,"Census Tract 9649, Delta County, Colorado"
4497,542,4094,481,4037,487,0,12,0,12,0,12,0,12,0,12,57,60,0,12,57,60,403,399,368,395,0,12,11,19,0,12,0,12,0,12,24,40,0,12,24,40,1400000US08029965000,"Census Tract 9650, Delta County, Colorado"
3970,374,3209,369,3075,351,16,25,78,85,18,29,0,12,0,12,22,30,0,12,22,30,761,177,649,192,0,12,25,34,0,12,0,12,82,100,5,9,5,9,0,12,1400000US08029965100,"Census Tract 9651, Delta County, Colorado"
4550,404,4344,401,4232,403,4,8,8,14,10,17,0,12,0,12,90,84,13,21,77,79,206,88,187,85,3,9,0,12,0,12,0,12,10,17,6,11,6,11,0,12,1400000US08029965200,"Census Tract 9652, Delta County, Colorado"
3491,245,2645,238,2365,230,67,54,12,21,41,32,0,12,9,14,151,96,0,12,151,96,846,226,543,196,0,12,26,34,23,29,0,12,191,130,63,60,14,24,49,55,1400000US08031000102,"Census Tract 1.02, Denver County, Colorado"
3820,414,1921,223,1750,209,53,40,9,17,8,13,21,40,0,12,80,49,21,32,59,46,1899,433,1574,384,11,18,51,63,10,16,0,12,215,141,38,47,28,44,10,17,1400000US08031000201,"Census Tract 2.01, Denver County, Colorado"
4006,351,2378,357,1904,337,251,148,18,16,79,60,11,17,51,78,64,55,0,12,64,55,1628,338,1190,329,6,10,141,85,0,12,0,12,204,129,87,78,71,75,16,25,1400000US08031000202,"Census Tract 2.02, Denver County, Colorado"
5869,498,4594,370,4423,339,6,12,0,17,98,82,0,17,0,17,67,59,0,17,67,59,1275,478,725,262,8,16,0,17,0,17,0,17,542,417,0,17,0,17,0,17,1400000US08031000301,"Census Tract 3.01, Denver County, Colorado"
4587,383,3968,376,3568,406,99,43,26,35,129,92,0,12,0,12,146,101,0,12,146,101,619,179,233,132,179,68,0,12,0,12,0,12,207,213,0,12,0,12,0,12,1400000US08031000302,"Census Tract 3.02, Denver County, Colorado"
4665,564,4047,443,3771,431,45,69,0,12,122,113,40,61,0,12,69,64,0,12,69,64,618,276,438,229,0,12,0,12,0,12,0,12,143,184,37,39,18,28,19,28,1400000US08031000303,"Census Tract 3.03, Denver County, Colorado"
3601,389,2074,224,1909,253,72,98,15,18,44,46,0,12,2,5,32,29,0,12,32,29,1527,333,1258,366,9,15,6,12,0,12,0,12,216,198,38,37,0,12,38,37,1400000US08031000401,"Census Tract 4.01, Denver County, Colorado"
5750,398,4534,399,4068,366,57,60,201,257,81,78,0,17,0,17,127,92,0,17,127,92,1216,363,689,310,0,17,0,17,0,17,0,17,429,314,98,106,0,17,98,106,1400000US08031000402,"Census Tract 4.02, Denver County, Colorado"
2183,170,1825,175,1667,138,126,124,0,12,16,14,7,10,0,12,9,14,9,14,0,12,358,109,278,115,11,18,30,41,0,12,0,12,22,25,17,20,17,20,0,12,1400000US08031000501,"Census Tract 5.01, Denver County, Colorado"
6006,363,4569,406,3951,395,263,271,43,50,159,105,0,17,0,17,153,124,0,17,153,124,1437,337,952,413,0,17,91,88,0,17,0,17,269,273,125,156,66,114,59,100,1400000US08031000502,"Census Tract 5.02, Denver County, Colorado"
3490,388,2526,311,2335,331,13,21,0,12,160,102,0,12,0,12,18,21,0,12,18,21,964,371,841,349,0,12,0,12,0,12,0,12,104,147,19,29,19,29,0,12,1400000US08031000600,"Census Tract 6, Denver County, Colorado"
4516,512,2373,452,1957,414,279,216,25,32,47,42,0,12,0,12,65,55,0,12,65,55,2143,538,1237,433,0,12,122,130,0,12,0,12,733,431,51,55,26,44,25,39,1400000US08031000701,"Census Tract 7.01, Denver County, Colorado"
4799,608,2361,431,1784,386,260,181,9,18,95,68,14,21,20,32,179,117,0,12,179,117,2438,577,1728,560,44,52,39,44,0,12,0,12,477,302,150,158,31,49,119,149,1400000US08031000702,"Census Tract 7.02, Denver County, Colorado"
1437,247,838,257,146,91,627,269,27,47,36,36,0,12,0,12,2,4,0,12,2,4,599,226,512,225,12,16,9,14,7,11,0,12,22,24,37,48,0,12,37,48,1400000US08031000800,"Census Tract 8, Denver County, Colorado"
6145,532,1695,286,1367,239,181,183,25,30,59,61,0,17,0,17,63,61,0,17,63,61,4450,614,3877,609,0,17,271,312,37,58,0,17,240,142,25,28,14,22,11,18,1400000US08031000902,"Census Tract 9.02, Denver County, Colorado"
6021,550,1778,434,1595,377,14,17,169,172,0,17,0,17,0,17,0,17,0,17,0,17,4243,590,3855,566,18,28,24,41,0,17,0,17,225,121,121,105,85,96,36,39,1400000US08031000903,"Census Tract 9.03, Denver County, Colorado"
5583,467,1557,315,1321,285,177,153,35,32,24,26,0,17,0,17,0,17,0,17,0,17,4026,520,2623,569,10,16,0,17,0,17,0,17,1196,447,197,117,126,102,71,57,1400000US08031000904,"Census Tract 9.04, Denver County, Colorado"
4263,304,1387,243,1306,232,37,57,44,69,0,12,0,12,0,12,0,12,0,12,0,12,2876,278,1843,465,147,174,0,12,0,12,0,12,861,424,25,38,0,12,25,38,1400000US08031000905,"Census Tract 9.05, Denver County, Colorado"
4803,459,1089,246,541,185,228,269,9,16,268,311,0,12,34,49,9,15,9,15,0,12,3714,565,3474,577,33,31,0,12,0,12,0,12,198,184,9,16,9,16,0,12,1400000US08031001000,"Census Tract 10, Denver County, Colorado"
2484,290,1215,179,950,202,135,92,24,25,58,42,0,12,7,10,41,51,9,15,32,49,1269,252,899,269,0,12,83,67,0,12,0,12,235,136,52,51,52,51,0,12,1400000US08031001101,"Census Tract 11.01, Denver County, Colorado"
4799,607,3396,435,3222,419,44,44,10,15,120,60,0,12,0,12,0,12,0,12,0,12,1403,602,707,386,0,12,0,12,52,58,0,12,536,409,108,116,0,12,108,116,1400000US08031001102,"Census Tract 11.02, Denver County, Colorado"
5259,437,1766,232,1286,188,88,94,42,60,323,183,8,15,10,15,9,14,0,17,9,14,3493,483,3257,506,0,17,0,17,0,17,0,17,164,127,72,94,52,86,20,33,1400000US08031001301,"Census Tract 13.01, Denver County, Colorado"
3974,360,1330,248,1052,202,23,29,99,122,62,66,0,12,10,16,84,78,40,63,44,48,2644,446,1918,465,0,12,17,19,0,12,0,12,580,394,129,85,39,63,90,68,1400000US08031001302,"Census Tract 13.02, Denver County, Colorado"
6401,494,2235,255,1587,235,154,88,0,17,382,163,0,17,0,17,112,79,0,17,112,79,4166,482,2852,559,0,17,0,17,0,17,0,17,1256,589,58,53,10,15,48,50,1400000US08031001401,"Census Tract 14.01, Denver County, Colorado"
4743,381,2210,503,1125,307,315,343,20,29,540,403,5,9,0,12,205,189,0,12,205,189,2533,590,1966,541,0,12,0,12,0,12,0,12,501,327,66,56,38,57,28,41,1400000US08031001402,"Census Tract 14.02, Denver County, Colorado"
3032,237,2290,206,2093,256,41,31,0,12,54,57,0,12,0,12,102,79,57,73,45,37,742,133,579,139,5,10,0,12,0,12,0,12,133,108,25,28,25,28,0,12,1400000US08031001403,"Census Tract 14.03, Denver County, Colorado"
4377,496,1826,387,1453,372,182,160,10,14,53,42,0,12,18,22,110,113,0,12,110,113,2551,355,2217,392,0,12,9,13,15,17,0,12,284,151,26,39,26,39,0,12,1400000US08031001500,"Census Tract 15, Denver County, Colorado"
12361,810,10530,744,7821,684,1612,638,62,70,247,154,0,19,0,19,788,395,0,19,788,395,1831,385,1150,458,9,22,0,19,0,19,0,19,641,386,31,51,31,51,0,19,1400000US08031001600,"Census Tract 16, Denver County, Colorado"
7500,553,7099,569,6219,501,71,66,13,20,695,257,0,17,0,17,101,81,46,54,55,52,401,186,346,176,0,17,21,34,0,17,0,17,16,26,18,27,0,17,18,27,1400000US08031001701,"Census Tract 17.01, Denver County, Colorado"
4491,533,3786,445,3204,415,122,88,28,41,160,94,0,12,22,26,250,135,0,12,250,135,705,288,486,236,79,88,0,12,0,12,0,12,116,88,24,39,0,12,24,39,1400000US08031001702,"Census Tract 17.02, Denver County, Colorado"
3570,361,2027,250,1659,239,179,117,7,11,68,48,0,12,24,38,90,48,0,12,90,48,1543,427,814,242,11,17,75,94,0,12,0,12,612,366,31,52,0,12,31,52,1400000US08031001800,"Census Tract 18, Denver County, Colorado"
3346,344,1827,242,998,218,697,200,26,50,59,47,0,12,0,12,47,44,0,12,47,44,1519,330,1075,454,0,12,10,16,13,19,0,12,407,337,14,24,14,24,0,12,1400000US08031001901,"Census Tract 19.01, Denver County, Colorado"
778,207,602,184,542,155,11,20,8,12,0,12,0,12,10,20,31,46,0,12,31,46,176,103,165,92,0,12,0,12,0,12,0,12,0,12,11,21,0,12,11,21,1400000US08031001902,"Census Tract 19.02, Denver County, Colorado"
2256,206,2041,200,1685,221,193,113,0,12,115,68,17,27,0,12,31,31,0,12,31,31,215,93,109,63,37,37,0,12,0,12,0,12,69,64,0,12,0,12,0,12,1400000US08031002000,"Census Tract 20, Denver County, Colorado"
6568,543,5001,436,4286,465,262,207,87,118,155,192,0,17,0,17,211,146,0,17,211,146,1567,490,1239,494,0,17,0,17,0,17,0,17,273,232,55,69,0,17,55,69,1400000US08031002100,"Census Tract 21, Denver County, Colorado"
5528,502,4484,503,2950,334,1222,501,35,34,93,75,0,17,0,17,184,118,0,17,184,118,1044,306,153,114,57,90,184,270,0,17,0,17,562,465,88,103,46,75,42,67,1400000US08031002300,"Census Tract 23, Denver County, Colorado"
2034,219,1808,180,1256,192,368,119,0,12,7,8,0,12,0,12,177,108,23,32,154,101,226,94,149,79,37,32,0,12,0,12,0,12,40,39,0,12,0,12,0,12,1400000US08031002402,"Census Tract 24.02, Denver County, Colorado"
4529,463,3551,433,2384,334,775,312,36,53,95,148,0,12,0,12,261,148,0,12,261,148,978,384,483,166,0,12,20,30,0,12,0,12,215,168,260,276,227,277,33,58,1400000US08031002403,"Census Tract 24.03, Denver County, Colorado"
3869,428,3109,382,2649,378,312,174,30,37,92,61,0,12,0,12,26,32,0,12,26,32,760,392,624,386,0,12,0,12,0,12,0,12,74,68,62,73,29,45,33,57,1400000US08031002601,"Census Tract 26.01, Denver County, Colorado"
2885,189,2583,203,2333,218,117,79,0,12,48,33,0,12,0,12,85,53,0,12,85,53,302,107,239,104,0,12,23,26,0,12,0,12,27,28,13,20,13,20,0,12,1400000US08031002602,"Census Tract 26.02, Denver County, Colorado"
4592,283,4022,313,3489,307,180,106,0,12,105,70,0,12,0,12,248,138,32,52,216,133,570,167,389,152,53,48,0,12,0,12,0,12,37,44,91,71,50,52,41,50,1400000US08031002701,"Census Tract 27.01, Denver County, Colorado"
6495,349,5763,375,5200,408,43,45,5,12,268,127,0,17,0,17,247,142,0,17,247,142,732,169,466,182,5,13,0,17,0,17,0,17,261,163,0,17,0,17,0,17,1400000US08031002702,"Census Tract 27.02, Denver County, Colorado"
5217,480,4728,515,3864,408,379,335,69,61,268,161,0,17,0,17,148,101,20,32,128,97,489,195,265,112,0,17,0,17,0,17,0,17,140,117,84,86,0,17,84,86,1400000US08031002703,"Census Tract 27.03, Denver County, Colorado"
3002,226,2738,264,2538,257,34,42,0,12,98,69,0,12,10,15,58,46,0,12,58,46,264,123,146,95,36,55,0,12,0,12,0,12,82,56,0,12,0,12,0,12,1400000US08031002801,"Census Tract 28.01, Denver County, Colorado"
4060,381,3517,344,3211,331,129,124,13,21,74,54,0,12,0,12,90,73,0,12,90,73,543,201,401,147,0,12,27,42,0,12,0,12,115,118,0,12,0,12,0,12,1400000US08031002802,"Census Tract 28.02, Denver County, Colorado"
4999,365,4632,333,4112,354,73,91,0,12,285,196,0,12,0,12,162,93,0,12,162,93,367,169,286,148,0,12,0,12,0,12,28,45,32,36,21,32,21,32,0,12,1400000US08031002803,"Census Tract 28.03, Denver County, Colorado"
3559,272,3253,198,2898,227,44,50,0,12,151,126,0,12,0,12,160,95,0,12,160,95,306,212,286,221,0,12,0,12,0,12,0,12,7,13,13,20,0,12,13,20,1400000US08031002901,"Census Tract 29.01, Denver County, Colorado"
4239,210,3967,209,3659,235,37,48,0,12,88,61,0,12,29,46,154,137,0,12,154,137,272,116,213,115,0,12,0,12,0,12,0,12,44,46,15,23,15,23,0,12,1400000US08031002902,"Census Tract 29.02, Denver County, Colorado"
5874,402,5394,432,5084,418,49,61,0,17,43,59,0,17,0,17,218,142,15,24,203,141,480,247,269,201,1,2,33,51,0,17,0,17,41,62,136,104,44,52,92,87,1400000US08031003001,"Census Tract 30.01, Denver County, Colorado"
2780,216,2284,178,2070,185,37,35,8,14,123,93,0,12,0,12,46,47,0,12,46,47,496,212,225,122,0,12,0,12,0,12,0,12,242,184,29,30,20,26,9,14,1400000US08031003002,"Census Tract 30.02, Denver County, Colorado"
3346,325,2904,293,2495,279,190,121,8,17,171,80,0,12,0,12,40,57,0,12,40,57,442,182,395,183,9,18,0,12,7,11,0,12,31,27,0,12,0,12,0,12,1400000US08031003003,"Census Tract 30.03, Denver County, Colorado"
6559,488,6176,503,5495,482,229,161,0,17,332,168,0,17,8,15,112,83,0,17,112,83,383,142,296,116,0,17,0,17,2,4,0,17,73,83,12,21,12,21,0,17,1400000US08031003004,"Census Tract 30.04, Denver County, Colorado"
1812,137,1421,178,989,161,314,70,4,9,1,3,0,12,34,54,79,49,17,26,62,42,391,177,226,129,0,12,0,12,0,12,0,12,151,180,14,16,0,12,14,16,1400000US08031003101,"Census Tract 31.01, Denver County, Colorado"
3527,271,3187,286,2659,276,257,88,2,7,161,132,0,12,0,12,108,78,0,12,108,78,340,111,273,107,2,4,0,12,0,12,0,12,38,35,27,28,0,12,27,28,1400000US08031003102,"Census Tract 31.02, Denver County, Colorado"
5853,385,5429,408,5073,397,77,62,0,17,36,38,33,55,1,4,209,107,0,17,209,107,424,145,424,145,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,1400000US08031003201,"Census Tract 32.01, Denver County, Colorado"
3456,230,3295,226,2950,228,134,121,29,26,105,64,0,12,0,12,77,58,0,12,77,58,161,77,129,69,0,12,0,12,0,12,0,12,27,31,5,11,5,11,0,12,1400000US08031003202,"Census Tract 32.02, Denver County, Colorado"
3032,307,2936,297,2800,277,29,29,46,65,11,19,0,12,0,12,50,36,0,12,50,36,96,70,53,53,0,12,0,12,0,12,0,12,0,12,43,48,14,22,29,44,1400000US08031003203,"Census Tract 32.03, Denver County, Colorado"
3215,289,2888,253,2757,254,26,32,10,17,68,39,0,12,0,12,27,32,0,12,27,32,327,226,140,96,0,12,0,12,0,12,0,12,127,121,60,95,60,95,0,12,1400000US08031003300,"Census Tract 33, Denver County, Colorado"
2658,219,2482,204,2398,203,15,25,5,9,24,26,6,10,11,17,23,26,0,12,23,26,176,111,102,78,0,12,0,12,0,12,0,12,48,59,26,41,26,41,0,12,1400000US08031003401,"Census Tract 34.01, Denver County, Colorado"
4856,272,4575,275,4327,308,38,34,41,60,96,68,0,12,0,12,73,43,0,12,73,43,281,183,221,129,0,12,0,12,0,12,0,12,0,12,60,88,0,12,60,88,1400000US08031003402,"Census Tract 34.02, Denver County, Colorado"
6636,649,1188,243,832,205,228,145,50,42,12,21,0,17,0,17,66,64,0,17,66,64,5448,639,3453,627,15,24,60,53,7,11,0,17,1746,541,167,154,135,148,32,30,1400000US08031003500,"Census Tract 35, Denver County, Colorado"
4552,485,2433,219,1694,194,629,222,18,24,5,7,0,12,1,3,86,50,0,12,86,50,2119,447,902,352,37,55,0,12,0,12,0,12,1114,467,66,41,33,26,33,28,1400000US08031003601,"Census Tract 36.01, Denver County, Colorado"
4862,477,2439,372,1442,268,704,268,13,19,72,56,14,22,0,12,194,108,0,12,194,108,2423,535,1249,353,9,15,0,12,0,12,0,12,1156,648,9,14,9,14,0,12,1400000US08031003602,"Census Tract 36.02, Denver County, Colorado"
3530,292,3213,323,1868,257,1187,293,0,12,0,12,0,12,0,12,158,142,10,17,148,142,317,215,115,73,12,19,0,12,0,12,0,12,142,174,48,66,0,12,48,66,1400000US08031003603,"Census Tract 36.03, Denver County, Colorado"
3677,310,3263,324,2843,286,304,169,0,12,87,60,0,12,0,12,29,27,0,12,29,27,414,148,312,106,0,12,0,12,8,14,0,12,53,58,41,45,16,24,25,39,1400000US08031003701,"Census Tract 37.01, Denver County, Colorado"
4994,452,4544,459,3961,539,268,164,0,12,64,43,0,12,0,12,251,169,0,12,251,169,450,196,251,158,0,12,0,12,0,12,0,12,124,112,75,97,57,92,18,29,1400000US08031003702,"Census Tract 37.02, Denver County, Colorado"
3266,271,2747,267,2435,268,61,42,0,12,94,106,0,12,0,12,157,123,0,12,157,123,519,197,343,144,7,12,0,12,0,12,0,12,87,96,82,78,0,12,82,78,1400000US08031003703,"Census Tract 37.03, Denver County, Colorado"
6850,585,6479,560,5820,545,146,114,0,17,327,173,0,17,43,71,143,96,0,17,143,96,371,134,202,96,0,17,0,17,18,28,0,17,57,53,94,98,0,17,94,98,1400000US08031003800,"Census Tract 38, Denver County, Colorado"
4204,427,3993,401,3669,442,139,164,0,12,88,69,0,12,36,55,61,82,0,12,61,82,211,197,167,185,0,12,0,12,0,12,0,12,0,12,44,71,44,71,0,12,1400000US08031003901,"Census Tract 39.01, Denver County, Colorado"
4502,279,4195,297,3869,319,17,30,4,7,213,115,0,12,0,12,92,59,0,12,92,59,307,154,253,149,9,20,0,12,0,12,0,12,45,42,0,12,0,12,0,12,1400000US08031003902,"Census Tract 39.02, Denver County, Colorado"
3525,230,3031,207,2814,232,0,12,0,12,89,50,10,16,0,12,118,82,0,12,118,82,494,222,413,217,0,12,10,15,0,12,0,12,37,36,34,33,7,11,27,32,1400000US08031004002,"Census Tract 40.02, Denver County, Colorado"
4217,385,3627,234,3230,248,12,20,7,12,113,110,0,12,11,19,254,160,0,12,254,160,590,296,188,111,0,12,10,16,0,12,0,12,377,385,15,23,15,23,0,12,1400000US08031004003,"Census Tract 40.03, Denver County, Colorado"
1965,116,1820,108,1723,104,41,56,0,12,31,24,0,12,0,12,25,17,0,12,25,17,145,70,82,54,0,12,0,12,0,12,0,12,56,49,7,9,0,12,7,9,1400000US08031004004,"Census Tract 40.04, Denver County, Colorado"
3299,233,2764,266,2423,277,122,84,29,24,117,72,0,12,0,12,73,48,9,14,64,48,535,195,333,149,0,12,6,12,0,12,0,12,169,119,27,32,27,32,0,12,1400000US08031004005,"Census Tract 40.05, Denver County, Colorado"
4857,396,4419,421,3653,377,16,16,13,20,431,229,0,12,0,12,306,218,0,12,306,218,438,224,349,198,4,10,0,12,10,17,0,12,49,79,26,42,0,12,26,42,1400000US08031004006,"Census Tract 40.06, Denver County, Colorado"
4589,316,3471,291,1323,197,1621,280,46,65,78,59,0,12,0,12,403,170,0,12,403,170,1118,287,957,282,34,58,0,12,0,12,0,12,112,104,15,24,15,24,0,12,1400000US08031004101,"Census Tract 41.01, Denver County, Colorado"
5054,475,3548,478,1383,237,1905,338,0,17,24,25,0,17,6,10,230,145,0,17,230,145,1506,511,1063,497,0,17,0,17,0,17,0,17,390,262,53,59,53,59,0,17,1400000US08031004102,"Census Tract 41.02, Denver County, Colorado"
5593,265,5095,271,3403,266,1355,239,0,17,88,85,42,61,47,82,160,109,28,47,132,100,498,169,439,212,5,17,0,17,0,17,0,17,36,66,18,28,0,17,18,28,1400000US08031004103,"Census Tract 41.03, Denver County, Colorado"
4758,319,4221,321,2373,249,1474,208,0,12,55,40,0,12,70,105,249,145,0,12,249,145,537,303,143,93,0,12,0,12,0,12,0,12,299,268,95,96,13,20,82,94,1400000US08031004104,"Census Tract 41.04, Denver County, Colorado"
13570,668,12224,594,9972,555,858,492,169,91,574,161,0,19,58,92,593,218,0,19,593,218,1346,345,1046,300,8,12,37,42,0,19,0,19,252,171,3,5,0,19,3,5,1400000US08031004106,"Census Tract 41.06, Denver County, Colorado"
13352,673,12094,691,9711,622,863,293,21,35,814,245,19,30,0,19,666,201,0,19,666,201,1258,342,969,293,0,19,0,19,0,19,0,19,149,96,140,129,0,19,140,129,1400000US08031004107,"Census Tract 41.07, Denver County, Colorado"
