geoid,name,B15003001,"B15003001, Error",B15003002,"B15003002, Error",B15003003,"B15003003, Error",B15003004,"B15003004, Error",B15003005,"B15003005, Error",B15003006,"B15003006, Error",B15003007,"B15003007, Error",B15003008,"B15003008, Error",B15003009,"B15003009, Error",B15003010,"B15003010, Error",B15003011,"B15003011, Error",B15003012,"B15003012, Error",B15003013,"B15003013, Error",B15003014,"B15003014, Error",B15003015,"B15003015, Error",B15003016,"B15003016, Error",B15003017,"B15003017, Error",B15003018,"B15003018, Error",B15003019,"B15003019, Error",B15003020,"B15003020, Error",B15003021,"B15003021, Error",B15003022,"B15003022, Error",B15003023,"B15003023, Error",B15003024,"B15003024, Error",B15003025,"B15003025, Error"
14000US08013061400,"Census Tract 614, Boulder, CO",2501,269,32,53,0,12,0,12,0,12,0,12,10,16,0,12,0,12,11,19,0,12,0,12,0,12,0,12,0,12,14,22,77,48,0,12,31,22,213,85,65,43,1109,212,627,157,172,84,140,63
14000US08014030000,"Census Tract 300, Broomfield, CO",2520,250,30,43,0,12,0,12,0,12,0,12,0,12,8,12,0,12,7,14,0,12,0,12,0,12,20,32,26,31,11,19,404,169,113,69,128,61,350,112,286,138,824,180,273,113,10,15,30,27
14000US08014030100,"Census Tract 301, Broomfield, CO",1902,373,6,10,0,12,5,8,0,12,0,12,0,12,0,12,5,11,18,23,0,12,0,12,60,74,25,28,6,9,5,9,410,130,125,156,175,79,288,90,156,82,474,96,90,42,34,27,20,21
14000US08014030200,"Census Tract 302, Broomfield, CO",1413,178,11,16,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,6,9,0,12,12,13,7,12,230,85,45,37,23,19,240,80,105,45,530,121,172,54,13,13,19,17
14000US08014030300,"Census Tract 303, Broomfield, CO",3131,442,0,12,0,12,0,12,0,12,4,12,0,12,0,12,0,12,35,55,11,25,27,34,13,16,0,12,21,34,37,29,657,215,124,78,157,87,719,187,166,78,840,237,249,95,19,23,52,36
14000US08014030400,"Census Tract 304, Broomfield, CO",2673,338,1,3,0,12,0,12,0,12,0,12,0,12,0,12,11,18,0,12,0,12,0,12,0,12,19,27,0,12,41,45,235,93,108,101,139,71,480,161,237,83,865,215,436,173,91,55,10,15
14000US08014030500,"Census Tract 305, Broomfield, CO",3897,355,139,137,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,76,80,0,17,0,17,0,17,325,98,39,40,257,143,387,107,323,115,1422,212,693,169,81,48,155,82
14000US08014030600,"Census Tract 306, Broomfield, CO",3984,366,13,20,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,17,27,56,86,71,85,11,18,57,60,644,188,33,26,250,180,725,197,612,195,1106,286,336,149,33,39,20,22
14000US08014030700,"Census Tract 307, Broomfield, CO",2121,265,25,28,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,16,28,0,12,0,12,30,30,443,138,106,71,41,34,264,92,173,56,606,187,379,146,31,34,7,12
14000US08014030800,"Census Tract 308, Broomfield, CO",3618,344,9,16,0,17,0,17,0,17,0,17,0,17,0,17,0,17,83,116,0,17,0,17,16,34,10,19,6,9,57,55,425,108,87,67,215,93,389,101,270,100,1315,207,518,157,110,78,108,98
14000US08014030900,"Census Tract 309, Broomfield, CO",4120,457,0,17,0,17,0,17,0,17,0,17,5,24,0,17,0,17,0,17,0,17,14,25,5,24,12,18,0,17,0,17,448,150,30,37,71,60,618,303,278,109,1553,328,869,215,154,121,63,48
14000US08014031000,"Census Tract 310, Broomfield, CO",3839,326,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,368,140,24,28,142,85,365,134,358,148,1387,242,993,257,117,61,85,57
14000US08014031300,"Census Tract 313, Broomfield, CO",1748,259,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,7,10,13,13,85,44,13,13,109,76,211,98,88,44,721,130,326,93,132,64,43,25
14000US08014980100,"Census Tract 9801, Broomfield, CO",0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
14000US08014980200,"Census Tract 9802, Broomfield, CO",0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
14000US08014980300,"Census Tract 9803, Broomfield, CO",0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
14000US08015000100,"Census Tract 1, Chaffee, CO",1722,254,0,12,0,12,0,12,0,12,19,30,0,12,0,12,0,12,0,12,0,12,34,41,7,10,27,32,20,28,7,15,248,108,110,56,137,74,246,148,164,77,506,137,128,63,39,52,30,27
14000US08015000200,"Census Tract 2, Chaffee, CO",3488,336,20,36,31,75,0,12,0,12,0,12,5,12,13,18,0,12,0,12,0,12,41,58,0,12,66,66,63,50,103,89,670,143,272,134,266,144,366,145,298,268,794,234,378,186,70,44,32,31
14000US08015000300,"Census Tract 3, Chaffee, CO",2759,386,3,4,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,13,19,13,19,31,39,9,13,329,109,28,22,258,129,552,151,305,123,570,185,474,172,127,60,47,40
14000US08015000402,"Census Tract 4.02, Chaffee, CO",4020,386,21,25,0,17,0,17,0,17,0,17,0,17,0,17,0,17,19,28,0,17,15,24,56,65,43,43,89,62,15,25,1031,321,761,174,195,78,656,277,137,83,527,234,338,201,86,69,31,49
14000US08017960600,"Census Tract 9606, Cheyenne, CO",1347,161,9,10,0,12,0,12,0,12,0,12,0,12,0,12,0,12,4,6,0,12,4,7,19,17,10,13,19,14,6,5,332,83,44,22,160,67,256,77,168,44,271,67,32,22,9,15,4,6
14000US08019014800,"Census Tract 148, Clear Creek, CO",1335,239,7,11,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,23,37,9,15,0,12,0,12,267,96,49,39,45,37,273,85,108,72,340,122,206,129,8,11,0,12
14000US08019014900,"Census Tract 149, Clear Creek, CO",2136,253,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,54,70,9,12,78,70,6,13,2,3,541,146,75,39,82,38,423,100,121,47,543,140,150,57,28,22,24,38
14000US08021974800,"Census Tract 9748, Conejos, CO",2541,171,30,21,0,12,1,4,0,12,0,12,1,2,0,12,0,12,23,14,8,7,114,61,91,50,73,34,93,45,13,12,700,113,141,59,155,46,435,100,184,93,368,73,79,29,21,17,11,9
14000US08021974900,"Census Tract 9749, Conejos, CO",2807,171,17,19,0,12,0,12,0,12,0,12,0,12,0,12,25,33,14,16,34,37,19,16,23,20,18,22,44,36,15,10,704,134,111,44,170,58,506,80,222,66,506,96,334,101,29,29,16,17
14000US08023972600,"Census Tract 9726, Costilla, CO",1499,129,21,18,0,12,0,12,0,12,5,9,2,3,28,29,14,22,36,29,0,12,38,41,23,28,10,12,38,29,14,10,271,77,54,30,70,34,374,74,122,48,228,72,121,46,17,18,13,15
14000US08023972700,"Census Tract 9727, Costilla, CO",1277,140,49,28,0,12,0,12,0,12,0,12,12,19,9,12,0,12,6,11,8,12,25,23,0,12,37,30,26,22,21,8,345,96,48,29,67,35,308,87,32,32,147,86,127,62,10,15,0,12
14000US08029964600,"Census Tract 9646, Delta, CO",3005,332,20,25,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,37,46,10,16,31,40,57,36,19,21,663,155,120,69,254,148,500,159,180,100,731,204,284,102,86,69,13,15
14000US08029964700,"Census Tract 9647, Delta, CO",3157,229,42,53,0,12,0,12,0,12,0,12,20,26,0,12,0,12,0,12,9,21,6,9,0,12,41,34,62,60,66,44,876,186,186,80,222,86,785,217,296,114,310,106,196,98,26,25,14,15
14000US08029964800,"Census Tract 9648, Delta, CO",3334,416,48,47,0,12,0,12,0,12,0,12,11,15,14,20,6,12,22,35,26,25,33,32,74,66,70,56,134,85,68,51,986,210,595,155,203,103,388,123,155,81,439,152,36,51,8,12,18,27
14000US08029964900,"Census Tract 9649, Delta, CO",3951,343,56,71,0,17,0,17,16,28,0,17,0,17,0,17,0,17,38,61,0,17,0,17,84,72,30,40,80,74,76,70,1364,291,300,145,294,151,673,196,231,143,576,214,133,93,0,17,0,17
14000US08029965100,"Census Tract 9651, Delta, CO",2543,302,81,67,40,56,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,48,46,98,102,62,49,76,55,35,35,751,149,165,59,126,73,372,125,167,69,362,113,118,55,33,35,9,15
14000US08031000102,"Census Tract 1.02, Denver, CO",2849,298,99,117,7,13,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,8,14,0,12,0,12,26,41,0,12,308,109,75,46,166,131,202,83,203,82,1186,209,378,105,139,89,52,49
14000US08031000201,"Census Tract 2.01, Denver, CO",2756,386,69,41,0,12,0,12,0,12,0,12,29,45,0,12,11,24,65,62,0,12,36,36,10,14,70,54,59,71,118,93,489,171,163,73,49,38,207,94,147,91,806,282,349,120,24,31,55,41
14000US08031000202,"Census Tract 2.02, Denver, CO",3349,542,60,51,13,23,0,12,0,12,0,12,47,48,0,12,0,12,199,189,9,15,158,148,0,12,28,32,108,70,65,59,376,121,93,50,165,81,453,183,239,158,912,259,297,198,99,103,28,25
14000US08031000301,"Census Tract 3.01, Denver, CO",4268,372,108,108,0,17,0,17,0,17,1,3,52,66,0,17,0,17,6,20,0,17,0,17,23,35,35,52,25,37,71,91,399,186,110,84,93,63,378,122,53,47,1648,327,796,199,363,155,107,69
14000US08031000302,"Census Tract 3.02, Denver, CO",3978,689,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,22,37,0,12,0,12,16,27,168,104,22,36,248,152,578,217,280,244,1452,291,889,433,214,92,89,68
14000US08031000303,"Census Tract 3.03, Denver, CO",3894,638,15,24,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,82,83,15,25,0,17,0,17,513,221,42,40,143,130,499,242,342,236,1366,332,620,167,166,84,91,61
14000US08031000401,"Census Tract 4.01, Denver, CO",3063,706,9,12,5,9,0,12,0,12,0,12,36,37,0,12,24,34,36,33,14,23,24,36,20,25,96,130,55,81,52,52,340,157,85,80,165,99,308,192,73,52,964,526,638,287,74,66,45,31
14000US08031000501,"Census Tract 5.01, Denver, CO",1766,156,52,48,0,12,0,12,0,12,0,12,0,12,0,12,0,12,5,8,0,12,0,12,0,12,0,12,5,7,15,21,129,61,17,25,86,100,185,72,47,31,583,96,425,103,158,70,59,29
14000US08031000600,"Census Tract 6, Denver, CO",2937,442,37,49,0,12,0,12,0,12,0,12,12,18,0,12,17,27,0,12,0,12,92,113,142,171,8,13,10,15,27,36,198,112,46,49,60,46,245,108,34,31,1408,299,380,133,177,111,44,38
14000US08031000800,"Census Tract 8, Denver, CO",547,153,86,82,0,12,0,12,0,12,0,12,0,12,0,12,3,6,8,10,1,7,0,12,35,17,55,39,0,12,14,14,113,69,78,94,28,26,57,39,8,12,61,59,0,12,0,12,0,12
14000US08031000902,"Census Tract 9.02, Denver, CO",4097,502,96,58,0,17,0,17,23,37,0,17,0,17,5,8,7,14,214,165,23,31,154,108,217,128,60,46,75,57,200,123,1092,370,336,127,213,85,398,154,164,88,708,241,82,55,26,40,4,9
14000US08031000903,"Census Tract 9.03, Denver, CO",4296,696,47,45,0,17,0,17,0,17,69,114,39,33,271,288,38,59,243,208,32,34,83,45,194,108,69,79,143,92,19,28,1097,435,252,128,152,69,701,209,70,50,664,343,61,45,47,41,5,9
14000US08031000904,"Census Tract 9.04, Denver, CO",3381,499,120,81,0,17,0,17,0,17,22,33,21,35,26,32,18,27,242,185,38,36,114,68,150,112,65,44,80,58,112,78,971,268,218,122,128,70,337,170,224,118,349,100,122,60,16,15,8,13
14000US08031000905,"Census Tract 9.05, Denver, CO",3156,487,107,72,0,12,0,12,0,12,0,12,55,51,0,12,0,12,123,79,11,17,7,13,48,65,78,58,329,155,268,143,547,164,122,122,161,126,276,152,89,75,797,294,88,59,10,14,40,34
14000US08031001000,"Census Tract 10, Denver, CO",3264,651,65,48,12,19,0,12,0,12,37,58,0,12,0,12,14,23,243,280,17,13,66,62,39,36,132,117,135,136,119,80,1237,554,234,118,28,30,331,192,115,71,365,115,62,31,13,22,0,12
14000US08031001101,"Census Tract 11.01, Denver, CO",1984,260,6,11,0,12,0,12,26,42,0,12,0,12,0,12,17,27,23,29,28,33,12,16,54,44,34,26,60,34,44,40,308,122,98,64,53,39,200,83,73,56,727,201,168,63,38,43,15,17
14000US08031001102,"Census Tract 11.02, Denver, CO",4066,551,10,23,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,13,23,124,145,5,10,58,58,13,24,52,50,251,140,22,26,232,130,204,101,80,77,2214,436,612,220,163,75,13,22
14000US08031001301,"Census Tract 13.01, Denver, CO",4010,862,112,83,0,17,0,17,0,17,0,17,31,47,48,73,67,78,210,139,26,43,11,15,408,351,87,90,112,95,23,24,913,265,99,67,240,108,765,698,193,75,517,149,106,56,15,16,27,33
14000US08031001302,"Census Tract 13.02, Denver, CO",2775,570,83,72,0,12,0,12,0,12,0,12,0,12,75,72,7,11,139,93,19,30,6,11,64,70,119,107,109,82,20,20,529,178,306,170,74,52,249,108,166,119,489,287,305,210,10,17,6,9
14000US08031001401,"Census Tract 14.01, Denver, CO",3808,375,173,142,50,59,0,17,0,17,32,52,26,31,0,17,45,59,51,46,84,64,19,21,85,54,73,55,136,85,138,74,1223,341,232,99,174,74,356,106,231,109,490,163,159,80,19,21,12,16
14000US08031001402,"Census Tract 14.02, Denver, CO",3555,1045,27,42,0,12,0,12,7,12,0,12,72,91,0,12,30,46,288,291,188,171,38,51,93,69,104,72,111,78,207,253,946,344,249,163,114,68,253,104,153,98,548,305,113,72,14,22,0,12
14000US08031001403,"Census Tract 14.03, Denver, CO",2749,426,15,26,0,12,0,12,0,12,0,12,27,28,0,12,6,13,31,31,0,12,0,12,32,42,25,40,24,28,35,44,292,126,89,48,107,77,340,144,178,79,1111,308,400,235,18,23,19,21
14000US08031001500,"Census Tract 15, Denver, CO",2570,402,104,67,0,12,0,12,19,30,24,29,0,12,0,12,0,12,49,58,0,12,128,108,249,158,70,63,28,37,94,71,519,209,197,120,101,90,248,124,169,104,330,151,110,66,112,159,19,21
14000US08031001800,"Census Tract 18, Denver, CO",2741,380,37,46,0,12,0,12,8,15,0,12,0,12,0,12,0,12,47,69,5,13,23,49,30,20,44,42,66,54,83,47,495,158,111,73,99,52,326,109,162,87,926,244,225,89,46,30,8,12
14000US08031001901,"Census Tract 19.01, Denver, CO",2309,490,19,37,0,12,0,12,29,57,0,12,0,12,20,25,0,12,13,15,19,51,74,59,75,67,27,40,124,111,28,30,366,153,91,72,184,123,491,374,132,86,322,111,247,109,36,35,12,20
14000US08031002000,"Census Tract 20, Denver, CO",2287,406,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,7,13,0,12,0,12,0,12,0,12,0,12,0,12,291,198,59,43,63,48,222,101,174,113,843,249,352,86,204,97,72,48
